SRR1178399	SRR1178406	SRR1178373	SRR1178374	SRR1178375	SRR1178376	SRR1178377	SRR1178378	SRR1178393	SRR1178394	SRR1178395	SRR1178396	SRR1178397	SRR1178398
ASV.1	0	0	0	0	0	0	0	0	0	0	1009	0	0	0
ASV.2	0	0	0	0	0	766	0	0	0	0	0	0	0	0
ASV.3	0	6	0	0	0	0	0	0	0	0	0	0	649	54
ASV.4	177	0	483	0	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	0	0	0	538	0	0	0	0	0	0
ASV.6	207	0	0	0	265	0	0	0	0	0	0	0	0	0
ASV.7	0	0	0	0	0	0	0	0	0	0	0	419	0	0
ASV.8	0	0	0	0	0	0	0	0	0	0	372	0	0	0
ASV.9	0	0	0	0	0	0	0	0	0	0	365	0	0	0
ASV.10	0	0	0	361	0	0	0	0	0	0	0	0	0	0
ASV.11	0	0	355	0	0	0	0	0	0	0	0	0	0	0
ASV.12	0	0	0	0	0	354	0	0	0	0	0	0	0	0
ASV.13	0	0	0	349	0	0	0	0	0	0	0	0	0	0
ASV.14	0	0	0	343	0	0	0	0	0	0	0	0	0	0
ASV.15	0	0	0	0	0	0	0	0	326	0	0	0	0	0
ASV.16	0	0	0	0	0	0	0	0	0	0	250	0	0	0
ASV.17	82	0	0	0	0	0	138	0	0	0	0	0	0	0
ASV.18	0	0	219	0	0	0	0	0	0	0	0	0	0	0
ASV.19	0	0	0	0	0	0	0	0	0	0	198	0	0	0
ASV.20	0	0	0	0	0	0	0	192	0	0	0	0	0	0
ASV.21	0	0	0	0	0	160	0	0	0	0	0	0	0	0
ASV.22	0	0	0	0	0	0	0	0	0	0	158	0	0	0
ASV.23	0	0	0	151	0	0	0	0	0	0	0	0	0	0
ASV.24	0	0	0	0	0	0	0	151	0	0	0	0	0	0
ASV.25	0	0	56	89	0	0	0	0	0	0	0	0	0	0
ASV.26	0	143	0	0	0	0	0	0	0	0	0	0	0	0
ASV.27	135	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	0	132	0	0	0	0	0	0
ASV.29	0	0	0	0	0	0	0	0	0	0	0	129	0	0
ASV.30	0	0	0	0	0	0	0	128	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	0	0	0	128	0	0	0	0
ASV.32	0	0	0	0	0	0	0	0	125	0	0	0	0	0
ASV.33	0	0	0	0	124	0	0	0	0	0	0	0	0	0
ASV.34	0	0	0	0	0	0	0	0	0	0	111	0	0	0
ASV.35	0	0	108	0	0	0	0	0	0	0	0	0	0	0
ASV.36	0	0	51	54	0	0	0	0	0	0	0	0	0	0
ASV.37	0	0	0	0	0	0	0	0	0	103	0	0	0	0
ASV.38	0	0	0	0	0	0	0	99	0	0	0	0	0	0
ASV.39	90	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.40	0	89	0	0	0	0	0	0	0	0	0	0	0	0
ASV.41	0	0	0	0	0	0	0	89	0	0	0	0	0	0
ASV.42	0	0	0	0	0	0	0	0	0	0	0	0	0	85
ASV.43	0	0	0	0	82	0	0	0	0	0	0	0	0	0
ASV.44	80	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.45	0	0	72	0	0	0	0	0	0	0	0	0	0	0
ASV.46	0	0	0	0	0	0	0	0	0	0	0	69	0	0
ASV.47	0	46	0	0	0	0	0	0	0	0	21	0	0	0
ASV.48	0	29	0	0	0	28	0	0	0	0	0	10	0	0
ASV.49	0	64	0	0	0	0	0	0	0	0	0	0	0	0
ASV.50	0	0	0	0	0	0	0	0	0	0	64	0	0	0
ASV.51	0	0	59	0	0	0	0	0	0	0	0	0	0	0
ASV.52	0	0	0	0	59	0	0	0	0	0	0	0	0	0
ASV.53	0	55	0	0	0	0	0	0	0	0	0	0	0	0
ASV.54	0	0	0	0	0	0	0	0	0	0	0	0	47	0
ASV.55	0	0	0	0	0	0	0	45	0	0	0	0	0	0
ASV.56	0	0	0	0	0	0	0	0	0	0	0	0	0	45
ASV.57	0	0	0	0	0	0	0	0	0	0	44	0	0	0
ASV.58	0	0	43	0	0	0	0	0	0	0	0	0	0	0
ASV.59	0	0	0	0	0	0	0	0	0	42	0	0	0	0
ASV.60	0	0	0	0	0	0	0	0	0	41	0	0	0	0
ASV.61	0	40	0	0	0	0	0	0	0	0	0	0	0	0
ASV.62	0	0	0	0	0	0	0	0	0	38	0	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	37	0	0	0	0
ASV.64	0	0	0	0	0	0	0	0	36	0	0	0	0	0
ASV.65	0	0	0	0	0	0	0	0	0	0	32	0	0	0
ASV.66	0	0	0	0	0	28	0	0	0	0	0	0	0	0
ASV.67	0	0	0	0	0	0	0	0	0	0	27	0	0	0
ASV.68	0	0	0	0	0	0	0	0	0	0	0	27	0	0
ASV.69	0	0	0	0	0	0	0	0	0	25	0	0	0	0
ASV.70	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV.71	0	0	0	0	0	0	0	0	0	17	0	0	0	0
ASV.72	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV.73	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ASV.74	0	0	0	0	0	0	0	0	0	0	0	16	0	0
ASV.75	0	0	0	0	0	0	0	10	0	0	0	0	0	0
ASV.76	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV.77	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV.80	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV.81	0	0	0	0	0	0	0	0	0	1	0	0	0	0
