KH.14.3.St02.DNA	KH.14.3.St03.DNA	KH.14.3.St04.DNA	KH.14.3.St05.DNA	KH.14.3.St06.DNA	KH.14.3.St07.DNA	KH.14.3.St08.DNA	KH.14.3.St09.DNA
ASV.01	0	0	2628	4565	1263	5078	0	0
ASV.02	467	5676	0	0	0	0	0	0
ASV.03	0	0	554	286	722	2296	0	0
ASV.04	0	0	934	0	0	2556	0	0
ASV.05	0	268	1550	163	91	275	604	0
ASV.06	0	0	793	1628	0	0	0	0
ASV.07	0	0	1107	384	0	0	0	0
ASV.08	1475	0	0	0	0	0	0	0
ASV.09	1011	0	0	0	0	0	0	0
ASV.010	0	773	0	0	0	0	0	0
ASV.011	0	0	600	0	0	0	0	0
ASV.012	0	0	0	0	0	0	447	0
ASV.013	0	0	0	0	0	0	441	0
ASV.014	424	0	0	0	0	0	0	0
ASV.015	0	0	303	0	0	0	0	0
ASV.016	0	0	0	0	290	0	0	0
ASV.017	0	284	0	0	0	0	0	0
ASV.018	0	257	0	0	0	0	0	0
ASV.019	0	0	0	0	0	0	254	0
ASV.020	0	0	0	0	0	0	226	0
ASV.021	0	0	0	0	0	0	220	0
ASV.022	215	0	0	0	0	0	0	0
ASV.023	0	0	0	180	0	0	0	0
ASV.024	0	0	0	0	0	179	0	0
ASV.025	0	0	0	0	0	0	169	0
ASV.026	0	0	0	0	145	0	0	0
ASV.027	0	0	0	0	0	0	144	0
ASV.028	0	0	130	0	0	0	0	0
ASV.029	0	0	0	0	0	0	122	0
ASV.030	0	0	0	0	0	0	93	0
ASV.031	0	92	0	0	0	0	0	0
ASV.032	0	0	0	0	0	0	86	0
ASV.033	0	0	0	0	0	0	80	0
ASV.034	0	79	0	0	0	0	0	0
ASV.035	0	0	0	0	0	68	0	0
ASV.036	0	0	0	0	0	0	67	0
ASV.037	0	0	0	0	0	0	64	0
ASV.038	0	0	0	0	0	0	61	0
ASV.039	0	0	0	0	0	0	55	0
ASV.040	0	0	0	0	0	0	54	0
ASV.041	0	0	0	0	0	0	54	0
ASV.042	0	0	0	0	0	0	53	0
ASV.043	0	0	0	0	0	0	53	0
ASV.044	0	0	0	0	0	0	52	0
ASV.045	0	0	0	0	0	0	51	0
ASV.046	0	0	0	0	0	0	49	0
ASV.047	0	0	0	0	0	0	47	0
ASV.048	0	0	0	0	0	0	47	0
ASV.049	0	0	0	0	0	0	0	47
ASV.050	0	0	0	0	0	0	45	0
ASV.051	0	0	0	0	0	0	44	0
ASV.052	0	0	0	0	0	0	43	0
ASV.053	37	0	0	0	0	0	0	0
ASV.054	0	0	0	0	0	0	0	37
ASV.055	0	0	0	0	0	0	36	0
ASV.056	0	0	0	0	0	0	36	0
ASV.057	0	0	0	0	0	0	34	0
ASV.058	0	0	0	0	34	0	0	0
ASV.059	0	0	0	0	0	0	33	0
ASV.060	0	31	0	0	0	0	0	0
ASV.061	0	0	0	0	0	0	31	0
ASV.062	0	31	0	0	0	0	0	0
ASV.063	0	0	0	0	0	0	30	0
ASV.064	0	0	0	0	0	29	0	0
ASV.065	0	0	0	0	0	0	29	0
ASV.066	0	0	0	0	0	0	29	0
ASV.067	0	29	0	0	0	0	0	0
ASV.068	0	29	0	0	0	0	0	0
ASV.069	0	0	0	0	0	0	27	0
ASV.070	0	0	0	0	0	0	27	0
ASV.071	0	0	0	0	0	0	0	27
ASV.072	0	0	0	0	0	25	0	0
ASV.073	0	0	0	0	0	0	25	0
ASV.074	0	0	0	0	0	0	25	0
ASV.075	0	0	0	0	0	0	25	0
ASV.076	24	0	0	0	0	0	0	0
ASV.077	0	0	0	0	0	0	23	0
ASV.078	0	0	0	0	0	0	0	23
ASV.079	0	0	0	0	0	23	0	0
ASV.080	0	0	0	0	0	0	23	0
ASV.081	0	0	0	0	0	0	0	22
ASV.082	0	0	0	0	0	0	21	0
ASV.083	0	0	0	0	0	0	21	0
ASV.084	0	21	0	0	0	0	0	0
ASV.085	0	0	21	0	0	0	0	0
ASV.086	0	0	0	0	0	20	0	0
ASV.087	0	0	0	0	0	0	0	18
ASV.088	0	0	0	0	0	0	18	0
ASV.089	0	0	0	0	0	0	17	0
ASV.090	0	0	0	0	0	0	17	0
ASV.091	0	0	0	0	16	0	0	0
ASV.092	0	0	0	0	0	0	16	0
ASV.093	0	0	0	0	0	0	15	0
ASV.094	0	0	0	0	0	0	0	15
ASV.095	0	0	0	0	0	0	14	0
ASV.096	0	14	0	0	0	0	0	0
ASV.097	0	0	0	0	0	0	11	3
ASV.098	0	0	0	0	0	0	13	0
ASV.099	0	0	0	0	0	0	12	0
ASV.0100	0	0	0	0	0	0	12	0
ASV.0101	0	0	0	0	0	0	11	0
ASV.0102	0	0	0	0	0	0	0	11
ASV.0103	0	11	0	0	0	0	0	0
ASV.0104	0	0	0	0	0	0	11	0
ASV.0105	0	0	0	0	0	0	7	3
ASV.0106	0	0	0	0	0	0	10	0
ASV.0107	0	0	0	0	0	0	9	0
ASV.0108	0	8	0	0	0	0	0	0
ASV.0109	0	8	0	0	0	0	0	0
ASV.0110	0	0	0	0	0	0	8	0
ASV.0111	0	0	0	0	0	0	8	0
ASV.0112	0	0	0	0	0	0	8	0
ASV.0113	0	0	0	0	0	0	0	8
ASV.0114	0	8	0	0	0	0	0	0
ASV.0115	0	0	0	0	0	8	0	0
ASV.0116	0	0	0	0	0	0	8	0
ASV.0117	0	0	0	0	0	0	8	0
ASV.0118	0	0	0	0	0	0	7	0
ASV.0119	0	0	0	0	0	0	7	0
ASV.0120	0	0	0	0	0	0	7	0
ASV.0121	0	0	0	0	0	0	7	0
ASV.0122	0	6	0	0	0	0	0	0
ASV.0123	0	0	0	0	0	6	0	0
ASV.0124	0	0	0	0	0	0	6	0
ASV.0125	0	0	0	0	0	0	6	0
ASV.0126	0	6	0	0	0	0	0	0
ASV.0127	0	6	0	0	0	0	0	0
ASV.0128	0	6	0	0	0	0	0	0
ASV.0129	0	0	0	0	0	0	6	0
ASV.0130	0	0	0	0	0	0	6	0
ASV.0131	0	5	0	0	0	0	0	0
ASV.0132	0	0	0	0	0	5	0	0
ASV.0133	0	0	0	0	0	0	5	0
ASV.0134	0	0	0	0	0	0	5	0
ASV.0135	0	0	0	0	0	0	0	5
ASV.0136	0	0	0	0	0	4	0	0
ASV.0137	0	0	0	0	0	0	4	0
ASV.0138	0	0	0	0	0	0	4	0
ASV.0139	0	0	0	0	0	0	4	0
ASV.0140	0	0	0	0	0	0	4	0
ASV.0141	0	4	0	0	0	0	0	0
ASV.0142	0	4	0	0	0	0	0	0
ASV.0143	0	3	0	0	0	0	0	0
ASV.0144	0	0	0	0	0	0	3	0
ASV.0145	0	0	0	0	0	0	3	0
ASV.0146	0	0	0	0	0	0	3	0
ASV.0147	0	0	0	0	0	0	3	0
ASV.0148	0	0	0	0	0	0	3	0
ASV.0149	0	0	0	0	0	0	3	0
ASV.0150	0	0	0	0	0	0	3	0
ASV.0151	0	0	0	0	0	0	3	0
ASV.0152	3	0	0	0	0	0	0	0
ASV.0153	0	3	0	0	0	0	0	0
ASV.0154	0	3	0	0	0	0	0	0
ASV.0155	0	0	0	0	0	0	3	0
ASV.0156	0	2	0	0	0	0	0	0
ASV.0157	0	2	0	0	0	0	0	0
ASV.0158	0	0	0	0	0	2	0	0
ASV.0159	0	0	0	0	0	0	2	0
ASV.0160	0	0	0	0	0	0	2	0
ASV.0161	0	0	0	0	0	0	2	0
ASV.0162	0	0	0	0	0	0	2	0
ASV.0163	0	0	0	0	0	0	2	0
ASV.0164	0	0	0	0	0	0	2	0
ASV.0165	0	0	0	0	0	0	2	0
ASV.0166	0	0	0	0	0	0	0	2
ASV.0167	0	0	0	0	0	0	0	2
ASV.0168	0	0	0	0	0	0	0	2
ASV.0169	0	2	0	0	0	0	0	0
ASV.0170	0	2	0	0	0	0	0	0
ASV.0171	0	2	0	0	0	0	0	0
ASV.0172	0	2	0	0	0	0	0	0
ASV.0173	0	2	0	0	0	0	0	0
ASV.0174	0	2	0	0	0	0	0	0
ASV.0175	0	0	0	0	0	2	0	0
ASV.0176	0	0	0	0	0	0	2	0
ASV.0177	0	0	0	0	0	0	2	0
ASV.0178	0	0	0	0	0	0	2	0
ASV.0179	0	0	0	0	0	0	2	0
ASV.0180	0	0	0	0	0	0	2	0
ASV.0181	0	0	0	0	0	0	2	0
ASV.0182	0	0	0	0	0	0	2	0
ASV.0183	0	0	0	0	0	0	2	0
ASV.0184	0	0	0	0	0	0	2	0
ASV.0185	0	0	0	0	0	0	2	0
ASV.0186	0	0	0	0	0	0	2	0
ASV.0187	0	0	0	0	0	0	2	0
ASV.0188	0	0	0	0	0	0	0	2
ASV.0189	0	1	0	0	0	0	0	0
