SRR13612812	SRR13612813	SRR13612814	SRR13612912	SRR13612913	SRR13612914	SRR13612915
ASV.1	151	5006	3723	0	13784	1178	42924
ASV.2	15354	15753	16516	0	0	7483	231
ASV.3	0	0	0	6536	7902	0	491
ASV.4	496	855	774	85	51	1189	391
ASV.5	0	0	0	0	0	3291	0
ASV.6	0	0	0	3231	0	0	0
ASV.7	0	0	0	0	271	1364	1443
ASV.8	0	0	0	0	0	2667	0
ASV.9	380	1015	1200	0	10	34	0
ASV.10	0	0	0	2489	0	0	0
ASV.11	0	0	0	87	224	1038	1054
ASV.12	0	0	0	0	105	1384	607
ASV.13	16	24	34	24	63	1316	371
ASV.14	129	678	844	0	0	0	0
ASV.15	12	2	0	23	120	1001	462
ASV.16	645	123	131	13	62	114	119
ASV.17	0	0	0	0	719	422	0
ASV.20	325	115	133	11	167	63	79
ASV.22	0	0	0	0	151	318	338
ASV.23	71	123	118	4	28	327	117
ASV.24	0	0	0	0	0	783	0
ASV.25	125	108	95	0	31	74	320
ASV.26	0	0	0	0	588	0	154
ASV.27	211	172	153	0	56	88	50
ASV.28	0	0	0	0	93	574	0
ASV.30	118	224	218	0	20	25	0
ASV.31	0	4	0	107	0	270	179
ASV.32	126	206	226	0	0	0	0
ASV.33	105	289	160	0	0	0	0
ASV.34	53	93	92	0	0	247	48
ASV.35	0	0	0	0	0	0	491
ASV.36	0	0	0	0	477	0	0
ASV.37	289	56	32	11	26	28	22
ASV.38	0	0	0	0	47	206	209
ASV.39	0	0	0	384	71	0	0
ASV.41	0	175	218	0	0	0	0
ASV.42	0	148	234	0	0	0	0
ASV.43	38	38	21	0	12	109	161
ASV.44	0	0	0	185	129	56	0
ASV.45	0	0	0	364	0	0	0
ASV.47	0	0	0	0	0	341	0
ASV.48	18	158	162	0	0	0	0
ASV.49	0	0	0	333	0	0	0
ASV.50	0	45	0	0	0	192	87
ASV.51	48	31	20	0	0	116	107
ASV.52	0	0	0	302	0	0	0
ASV.53	0	0	0	0	98	30	158
ASV.54	0	0	0	0	39	116	128
ASV.55	75	104	102	0	0	0	0
ASV.56	0	0	0	0	0	115	154
ASV.57	0	0	0	0	132	136	0
ASV.58	33	11	20	0	45	97	58
ASV.59	0	0	0	0	0	257	0
ASV.60	0	0	0	0	0	256	0
ASV.61	21	94	130	0	0	0	0
ASV.62	51	92	99	0	0	0	0
ASV.63	0	0	0	242	0	0	0
ASV.64	0	0	0	0	45	112	81
ASV.65	0	0	0	0	0	0	231
ASV.66	0	0	0	0	0	0	227
ASV.68	19	83	113	0	0	0	0
ASV.72	38	40	112	0	0	5	0
ASV.73	0	0	0	0	194	0	0
ASV.75	0	0	0	189	2	0	0
ASV.76	0	83	104	0	0	0	0
ASV.77	61	53	48	0	0	8	15
ASV.78	0	0	0	0	0	185	0
ASV.79	0	0	0	0	0	180	0
ASV.80	12	0	0	0	165	0	0
ASV.82	0	0	32	0	0	87	56
ASV.84	0	0	0	169	0	0	0
ASV.85	0	0	0	0	0	56	113
ASV.86	66	57	40	0	5	0	0
ASV.87	82	0	85	0	0	0	0
ASV.88	0	0	0	0	0	88	79
ASV.89	160	0	0	0	5	0	0
ASV.90	0	0	0	0	163	0	0
ASV.91	0	0	0	0	0	0	163
ASV.92	0	0	0	0	162	0	0
ASV.93	0	0	0	18	48	92	0
ASV.95	0	0	0	154	0	0	0
ASV.96	0	43	108	0	0	0	0
ASV.97	0	78	73	0	0	0	0
ASV.98	0	0	0	0	0	151	0
ASV.99	0	0	0	12	30	84	24
ASV.100	0	0	0	0	0	145	0
ASV.101	82	14	46	0	0	0	0
ASV.102	0	0	0	0	133	0	0
ASV.103	0	0	0	132	0	0	0
ASV.104	0	0	0	44	88	0	0
ASV.105	22	0	0	10	12	79	8
ASV.106	0	0	0	0	0	102	28
ASV.107	45	33	31	0	0	12	6
ASV.108	0	0	0	55	27	35	7
ASV.109	27	45	51	0	0	0	0
ASV.110	36	46	41	0	0	0	0
ASV.111	0	0	0	0	123	0	0
ASV.112	0	0	0	0	0	0	123
ASV.113	0	0	19	0	0	43	60
ASV.114	51	28	34	0	0	0	0
ASV.115	0	0	0	0	0	113	0
ASV.116	0	0	0	0	0	113	0
ASV.117	2	51	42	0	0	17	0
ASV.118	52	28	22	0	7	3	0
ASV.119	91	20	0	0	0	0	0
ASV.121	54	0	56	0	0	0	0
ASV.123	6	103	0	0	0	0	0
ASV.125	4	40	63	0	0	0	0
ASV.126	107	0	0	0	0	0	0
ASV.127	25	33	42	0	0	7	0
ASV.128	0	0	0	0	107	0	0
ASV.129	0	0	0	0	0	107	0
ASV.130	48	27	29	0	0	0	0
ASV.131	76	0	0	0	0	28	0
ASV.132	2	0	0	38	63	0	0
ASV.133	0	0	0	0	4	43	55
ASV.135	0	0	0	69	29	0	0
ASV.137	0	0	96	0	0	0	0
ASV.138	0	0	96	0	0	0	0
ASV.139	0	0	0	0	0	94	0
ASV.140	0	0	0	0	0	94	0
ASV.141	0	42	40	0	0	11	0
ASV.142	0	0	93	0	0	0	0
ASV.143	40	28	19	0	0	4	0
ASV.144	0	90	0	0	0	0	0
ASV.145	0	30	47	0	13	0	0
ASV.146	0	0	0	89	0	0	0
ASV.147	0	0	0	0	88	0	0
ASV.148	0	0	0	0	0	0	88
ASV.149	0	0	0	0	0	87	0
ASV.150	23	11	0	0	0	48	4
ASV.151	44	27	14	0	0	0	0
ASV.152	0	0	0	24	30	27	4
ASV.153	17	26	41	0	0	0	0
ASV.154	27	14	42	0	0	0	0
ASV.155	0	39	44	0	0	0	0
ASV.156	0	0	0	83	0	0	0
ASV.157	0	0	0	83	0	0	0
ASV.158	81	0	0	0	0	0	0
ASV.159	0	0	0	0	0	0	81
ASV.160	0	0	0	80	0	0	0
ASV.161	0	50	29	0	0	0	0
ASV.163	0	0	0	52	27	0	0
ASV.164	0	0	0	0	79	0	0
ASV.165	0	0	0	0	0	79	0
ASV.166	0	0	0	78	0	0	0
ASV.167	0	40	37	0	0	0	0
ASV.168	27	20	24	4	0	0	0
ASV.169	0	0	75	0	0	0	0
ASV.170	11	21	42	0	0	0	0
ASV.171	0	19	55	0	0	0	0
ASV.172	0	0	0	0	73	0	0
ASV.173	60	12	0	0	0	0	0
ASV.174	43	22	6	0	0	0	0
ASV.175	0	0	71	0	0	0	0
ASV.176	0	0	0	71	0	0	0
ASV.177	0	0	0	42	12	17	0
ASV.178	2	10	25	0	0	14	18
ASV.179	0	34	34	0	0	0	0
ASV.180	0	0	0	68	0	0	0
ASV.181	0	0	0	0	68	0	0
ASV.182	67	0	0	0	0	0	0
ASV.183	0	16	51	0	0	0	0
ASV.184	0	0	0	0	0	67	0
ASV.185	29	6	18	0	0	10	3
ASV.187	5	37	23	0	0	0	0
ASV.188	33	0	9	23	0	0	0
ASV.189	0	23	29	0	0	13	0
ASV.190	0	37	27	0	0	0	0
ASV.191	0	64	0	0	0	0	0
ASV.192	19	0	7	5	32	0	0
ASV.193	0	10	0	0	53	0	0
ASV.194	0	0	0	63	0	0	0
ASV.196	0	0	0	0	0	63	0
ASV.197	0	0	0	0	0	26	37
ASV.198	0	0	0	0	0	61	0
ASV.199	0	0	0	0	60	0	0
ASV.200	8	0	0	15	3	33	0
ASV.201	56	3	0	0	0	0	0
ASV.202	0	33	26	0	0	0	0
ASV.203	0	0	0	21	2	36	0
ASV.204	0	0	0	0	59	0	0
ASV.205	0	0	0	0	0	59	0
ASV.206	22	22	14	0	0	0	0
ASV.207	0	0	58	0	0	0	0
ASV.208	29	0	0	0	0	28	0
ASV.209	12	25	20	0	0	0	0
ASV.210	0	22	30	0	0	0	5
ASV.211	0	0	0	57	0	0	0
ASV.212	0	0	0	0	0	13	44
ASV.213	0	0	0	0	0	56	0
ASV.214	0	21	34	0	0	0	0
ASV.215	0	0	0	0	0	28	27
ASV.216	0	0	0	54	0	0	0
ASV.217	0	0	0	0	6	47	0
ASV.218	0	0	0	0	0	53	0
ASV.219	52	0	0	0	0	0	0
ASV.220	0	0	0	0	52	0	0
ASV.221	0	0	0	0	23	29	0
ASV.222	11	15	10	0	0	15	0
ASV.223	0	0	0	0	10	41	0
ASV.224	50	0	0	0	0	0	0
ASV.225	0	13	37	0	0	0	0
ASV.226	0	0	0	26	24	0	0
ASV.229	49	0	0	0	0	0	0
ASV.230	0	22	27	0	0	0	0
ASV.231	0	0	0	49	0	0	0
ASV.232	0	0	0	0	49	0	0
ASV.233	0	0	0	2	17	25	4
ASV.234	0	0	0	0	0	48	0
ASV.235	0	0	0	0	0	0	48
ASV.236	18	0	29	0	0	0	0
ASV.238	0	0	5	0	0	42	0
ASV.239	0	0	0	0	15	24	7
ASV.240	0	0	0	0	46	0	0
ASV.241	4	13	28	0	0	0	0
ASV.242	0	0	0	0	45	0	0
ASV.243	0	19	25	0	0	0	0
ASV.244	0	0	0	0	0	44	0
ASV.245	3	0	0	0	0	21	18
ASV.246	18	0	0	0	24	0	0
ASV.247	0	21	21	0	0	0	0
ASV.250	0	0	0	35	7	0	0
ASV.253	0	0	0	0	0	11	31
ASV.254	0	0	0	0	41	0	0
ASV.256	30	0	10	0	0	0	0
ASV.257	0	12	28	0	0	0	0
ASV.261	0	0	0	0	40	0	0
ASV.262	0	0	0	0	0	27	13
ASV.266	0	0	0	39	0	0	0
ASV.267	34	4	0	0	0	0	0
ASV.268	38	0	0	0	0	0	0
ASV.270	11	0	0	0	0	7	19
ASV.271	15	0	22	0	0	0	0
ASV.272	0	0	0	37	0	0	0
ASV.274	0	0	0	0	16	21	0
ASV.275	0	0	0	0	0	37	0
ASV.276	25	6	5	0	0	0	0
ASV.277	36	0	0	0	0	0	0
ASV.278	0	21	15	0	0	0	0
ASV.279	0	10	26	0	0	0	0
ASV.280	0	15	0	0	0	21	0
ASV.281	0	0	36	0	0	0	0
ASV.282	0	0	36	0	0	0	0
ASV.283	0	0	0	36	0	0	0
ASV.284	0	0	0	36	0	0	0
ASV.285	24	0	0	0	11	0	0
ASV.286	33	2	0	0	0	0	0
ASV.287	11	14	10	0	0	0	0
ASV.288	0	0	0	0	35	0	0
ASV.289	0	0	0	0	35	0	0
ASV.290	0	0	0	0	0	0	35
ASV.291	6	0	2	4	13	9	0
ASV.292	0	0	0	8	0	26	0
ASV.294	0	0	0	11	0	23	0
ASV.295	0	0	0	0	0	34	0
ASV.296	0	0	0	0	0	0	34
ASV.298	30	3	0	0	0	0	0
ASV.299	8	13	12	0	0	0	0
ASV.301	0	16	17	0	0	0	0
ASV.302	0	0	20	0	0	0	13
ASV.304	0	0	0	33	0	0	0
ASV.305	0	0	0	0	0	33	0
ASV.306	0	0	0	0	0	33	0
ASV.308	7	8	17	0	0	0	0
ASV.309	0	19	13	0	0	0	0
ASV.311	0	0	0	0	32	0	0
ASV.312	0	0	0	0	0	18	14
ASV.313	0	0	0	0	0	32	0
ASV.314	15	9	7	0	0	0	0
ASV.315	25	0	0	0	6	0	0
ASV.317	0	0	0	31	0	0	0
ASV.318	0	0	0	0	31	0	0
ASV.319	0	0	0	0	0	31	0
ASV.320	0	0	0	0	0	31	0
ASV.321	0	0	0	0	0	31	0
ASV.322	0	13	17	0	0	0	0
ASV.323	0	0	0	30	0	0	0
ASV.324	0	0	0	0	30	0	0
ASV.325	0	0	0	0	0	0	30
ASV.326	0	17	12	0	0	0	0
ASV.327	0	9	14	0	0	6	0
ASV.328	0	0	29	0	0	0	0
ASV.329	0	0	0	0	29	0	0
ASV.330	0	0	0	0	29	0	0
ASV.332	0	0	0	0	0	0	29
ASV.333	10	10	8	0	0	0	0
ASV.334	21	7	0	0	0	0	0
ASV.335	28	0	0	0	0	0	0
ASV.337	0	0	0	0	5	23	0
ASV.338	0	0	0	0	0	28	0
ASV.339	27	0	0	0	0	0	0
ASV.340	27	0	0	0	0	0	0
ASV.341	15	0	12	0	0	0	0
ASV.343	0	7	20	0	0	0	0
ASV.344	0	16	11	0	0	0	0
ASV.345	0	0	0	27	0	0	0
ASV.346	0	0	0	27	0	0	0
ASV.347	0	0	0	0	0	27	0
ASV.348	5	0	0	16	5	0	0
ASV.349	26	0	0	0	0	0	0
ASV.351	0	26	0	0	0	0	0
ASV.352	0	0	0	26	0	0	0
ASV.353	14	3	0	2	3	0	3
ASV.354	25	0	0	0	0	0	0
ASV.355	0	22	0	3	0	0	0
ASV.356	0	13	12	0	0	0	0
ASV.357	0	0	0	25	0	0	0
ASV.358	0	0	0	25	0	0	0
ASV.359	0	0	0	0	0	25	0
ASV.361	0	0	0	0	0	25	0
ASV.362	16	8	0	0	0	0	0
ASV.363	10	0	3	0	0	11	0
ASV.364	24	0	0	0	0	0	0
ASV.366	24	0	0	0	0	0	0
ASV.367	16	0	8	0	0	0	0
ASV.368	24	0	0	0	0	0	0
ASV.369	0	14	8	0	0	0	2
ASV.371	0	0	24	0	0	0	0
ASV.373	0	0	0	24	0	0	0
ASV.374	0	0	0	0	24	0	0
ASV.375	0	0	0	0	0	24	0
ASV.376	0	0	0	0	0	24	0
ASV.378	0	14	9	0	0	0	0
ASV.379	0	8	15	0	0	0	0
ASV.380	0	0	0	23	0	0	0
ASV.381	0	0	0	0	23	0	0
ASV.382	0	0	0	0	0	12	11
ASV.383	0	0	0	0	0	17	6
ASV.384	0	0	0	0	0	23	0
ASV.385	22	0	0	0	0	0	0
ASV.386	19	3	0	0	0	0	0
ASV.387	10	0	12	0	0	0	0
ASV.388	5	12	5	0	0	0	0
ASV.389	22	0	0	0	0	0	0
ASV.390	22	0	0	0	0	0	0
ASV.391	16	0	6	0	0	0	0
ASV.392	22	0	0	0	0	0	0
ASV.393	22	0	0	0	0	0	0
ASV.394	0	22	0	0	0	0	0
ASV.395	0	0	22	0	0	0	0
ASV.397	0	0	0	3	4	15	0
ASV.398	0	0	0	0	0	22	0
ASV.399	0	0	0	0	0	10	12
ASV.400	11	0	10	0	0	0	0
ASV.401	21	0	0	0	0	0	0
ASV.402	21	0	0	0	0	0	0
ASV.403	21	0	0	0	0	0	0
ASV.404	0	15	6	0	0	0	0
ASV.405	0	7	7	0	0	7	0
ASV.406	0	0	0	21	0	0	0
ASV.407	0	0	0	21	0	0	0
ASV.409	0	0	0	0	21	0	0
ASV.410	0	0	0	0	0	21	0
ASV.411	0	0	0	0	0	21	0
ASV.412	0	0	0	0	0	21	0
ASV.414	0	0	0	0	0	0	21
ASV.415	20	0	0	0	0	0	0
ASV.416	13	7	0	0	0	0	0
ASV.417	20	0	0	0	0	0	0
ASV.418	7	13	0	0	0	0	0
ASV.419	8	0	0	0	5	7	0
ASV.420	0	20	0	0	0	0	0
ASV.421	0	14	6	0	0	0	0
ASV.422	0	0	20	0	0	0	0
ASV.423	0	0	0	20	0	0	0
ASV.426	0	0	0	20	0	0	0
ASV.427	0	0	0	0	0	20	0
ASV.428	0	0	0	0	0	14	6
ASV.429	0	0	0	0	0	0	20
ASV.430	19	0	0	0	0	0	0
ASV.431	19	0	0	0	0	0	0
ASV.432	19	0	0	0	0	0	0
ASV.433	8	0	11	0	0	0	0
ASV.434	19	0	0	0	0	0	0
ASV.435	0	19	0	0	0	0	0
ASV.436	0	0	19	0	0	0	0
ASV.437	0	0	0	19	0	0	0
ASV.438	0	0	0	19	0	0	0
ASV.439	0	0	0	19	0	0	0
ASV.440	0	0	0	19	0	0	0
ASV.441	0	0	0	0	19	0	0
ASV.442	0	0	0	0	19	0	0
ASV.443	0	0	0	0	0	19	0
ASV.444	0	0	0	0	0	19	0
ASV.445	5	0	0	0	13	0	0
ASV.446	18	0	0	0	0	0	0
ASV.447	0	12	6	0	0	0	0
ASV.448	0	11	7	0	0	0	0
ASV.449	0	0	18	0	0	0	0
ASV.450	0	0	18	0	0	0	0
ASV.452	0	0	0	18	0	0	0
ASV.453	0	0	0	18	0	0	0
ASV.454	0	0	0	18	0	0	0
ASV.455	0	0	0	18	0	0	0
ASV.456	0	0	0	0	10	8	0
ASV.457	0	0	0	0	0	18	0
ASV.459	0	0	0	0	0	18	0
ASV.460	15	2	0	0	0	0	0
ASV.461	8	0	9	0	0	0	0
ASV.463	12	5	0	0	0	0	0
ASV.464	0	8	9	0	0	0	0
ASV.465	0	17	0	0	0	0	0
ASV.466	0	5	4	0	8	0	0
ASV.468	0	0	0	17	0	0	0
ASV.469	0	0	0	17	0	0	0
ASV.470	0	0	0	17	0	0	0
ASV.471	0	0	0	17	0	0	0
ASV.472	0	0	0	17	0	0	0
ASV.474	0	0	0	0	17	0	0
ASV.475	0	0	0	0	17	0	0
ASV.477	0	0	0	0	0	17	0
ASV.479	0	0	0	0	0	0	17
ASV.480	2	4	7	0	3	0	0
ASV.481	16	0	0	0	0	0	0
ASV.482	16	0	0	0	0	0	0
ASV.484	0	16	0	0	0	0	0
ASV.485	0	11	5	0	0	0	0
ASV.486	0	16	0	0	0	0	0
ASV.487	0	16	0	0	0	0	0
ASV.488	0	4	12	0	0	0	0
ASV.489	0	0	16	0	0	0	0
ASV.490	0	0	16	0	0	0	0
ASV.491	0	0	16	0	0	0	0
ASV.492	0	0	0	16	0	0	0
ASV.493	0	0	0	9	7	0	0
ASV.494	0	0	0	16	0	0	0
ASV.495	0	0	0	16	0	0	0
ASV.496	0	0	0	16	0	0	0
ASV.497	0	0	0	0	16	0	0
ASV.498	0	0	0	0	16	0	0
ASV.499	0	0	0	0	16	0	0
ASV.500	0	0	0	0	16	0	0
ASV.501	0	0	0	0	16	0	0
ASV.502	0	0	0	0	0	16	0
ASV.503	0	0	0	0	0	16	0
ASV.504	0	0	0	0	0	16	0
ASV.506	0	0	0	0	0	16	0
ASV.507	0	0	0	0	0	0	16
ASV.508	7	0	0	0	0	8	0
ASV.509	15	0	0	0	0	0	0
ASV.510	15	0	0	0	0	0	0
ASV.511	6	0	9	0	0	0	0
ASV.512	15	0	0	0	0	0	0
ASV.513	0	6	4	0	0	5	0
ASV.514	0	15	0	0	0	0	0
ASV.515	0	15	0	0	0	0	0
ASV.516	0	7	8	0	0	0	0
ASV.517	0	5	10	0	0	0	0
ASV.518	0	6	9	0	0	0	0
ASV.519	0	15	0	0	0	0	0
ASV.520	0	0	15	0	0	0	0
ASV.521	0	0	15	0	0	0	0
ASV.523	0	0	0	15	0	0	0
ASV.524	0	0	0	15	0	0	0
ASV.525	0	0	0	0	15	0	0
ASV.526	0	0	0	0	15	0	0
ASV.527	0	0	0	0	15	0	0
ASV.528	0	0	0	0	0	15	0
ASV.530	0	0	0	0	0	15	0
ASV.531	0	0	0	0	0	15	0
ASV.532	0	0	0	0	0	15	0
ASV.534	14	0	0	0	0	0	0
ASV.535	2	3	9	0	0	0	0
ASV.536	14	0	0	0	0	0	0
ASV.537	14	0	0	0	0	0	0
ASV.538	14	0	0	0	0	0	0
ASV.539	10	0	4	0	0	0	0
ASV.540	7	0	0	0	0	7	0
ASV.541	0	14	0	0	0	0	0
ASV.542	0	14	0	0	0	0	0
ASV.543	0	3	11	0	0	0	0
ASV.544	0	9	5	0	0	0	0
ASV.545	0	0	14	0	0	0	0
ASV.547	0	0	14	0	0	0	0
ASV.548	0	0	0	14	0	0	0
